dataset,index,species,area,question,correct_answer,option_0,option_1,option_2,DeepSeek-V3.2_Agent_Choice,DeepSeek-V3.2_Agent_Objective,DeepSeek-V3.2_LLM_Choice,DeepSeek-V3.2_LLM_Objective,Grok-4.1-Fast_Agent_Choice,Grok-4.1-Fast_Agent_Objective,Grok-4.1-Fast_LLM_Choice,Grok-4.1-Fast_LLM_Objective,Doubao-1.8_Agent_Choice,Doubao-1.8_Agent_Objective,Doubao-1.8_LLM_Choice,Doubao-1.8_LLM_Objective,MiMo-V2-Flash_Agent_Choice,MiMo-V2-Flash_Agent_Objective,MiMo-V2-Flash_LLM_Choice,MiMo-V2-Flash_LLM_Objective,Qwen3-235B_Agent_Choice,Qwen3-235B_Agent_Objective,Qwen3-235B_LLM_Choice,Qwen3-235B_LLM_Objective,Gemini-3-Flash-High_Agent_Choice,Gemini-3-Flash-High_Agent_Objective,Gemini-3-Flash-High_LLM_Choice,Gemini-3-Flash-High_LLM_Objective
target,11,Arabidopsis thaliana,GENE REGULATION - PTGS,Is RdDM-dependent silencing of transposable elements always associated with the transcriptional repression of the TEs and their surrounding regions in Arabidopsis?,1,"In the case of transposon-derived inverted repeats (IRs), non-canonical RdDM, triggered by the production of 24-nt siRNAs from the single-stranded secondary structure formed by Pol IV-driven IR transcription, and the resulting DNA condensation, appears to function differently. For example, it can alter chromatin topology, always increasing transcription of neighboring genes.","In the case of transposon-derived inverted repeats (IRs), non-canonical RdDM, triggered by the production of 24-nt siRNAs from the double-stranded secondary structure formed by Pol II-driven IR transcription, and the resulting DNA methylation, appears to function differently. For example, it can alter chromatin topology, either increasing or decreasing transcription of neighboring genes.","In the case of transposon-derived inverted repeats (IRs), canonical RdDM, triggered by the production of 21-nt siRNAs from the double-stranded secondary structure formed by Pol II-driven IR transcription, and the resulting DNA methylation, appears to function conservatively. For example, it can alter chromatin condensation causing IR silencing.",1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
target,12,Arabidopsis thaliana,GENE REGULATION - PTGS,Which transposable elements have been identified as capable of regulating the expression of the EFR gene in Arabidopsis thaliana?,0,"A transposon-derived inverted repeat (IR) element located downstream of the EFR gene in Arabidopsis thaliana, named Ea-IR, has the capacity to regulate EFR gene expression. Depending on its methylation state, the Ea-IR can rearrange chromatin topology, creating a short-range chromatin loop that enhance EFR gene expression, ultimately affecting pathogen responses.","A transposon-derived inverted repeat (IR) element located upstream of the EFR gene in Arabidopsis thaliana, named Ea-IR, has the capacity to regulate EFR gene expression. Depending on its methylation state, the Ea-IR can rearrange chromatin topology, creating a short-range chromatin loop that inhibiting EFR gene expression, ultimately affecting pathogen responses.","A transposon-derived inverted repeat (IR) element located in the second exon of the EFR gene in Arabidopsis thaliana, named Ea-IR, has the capacity to regulate EFR gene expression. Depending on its orientation, the Ea-IR can rearrange itself, enhancing EFR gene expression, ultimately affecting pathogen responses.",1,False,0,True,0,True,0,True,,False,0,True,1,False,0,True,1,False,0,True,0,True,0,True
target,13,Arabidopsis thaliana,HORMONES,What are the two main molecular mechanisms for the co-regulation of hypocotyl growth by auxin and gibberellin (GA) in Arabidopsis?,2,"The two primary mechanisms are: (1) Auxin-induced gibberellin catabolism: Auxin stimulates the ARF-dependent transcriptional upregulation of genes encoding GA 2-oxidases, which are key enzymes in gibberellin inactivation. This leads to decreased local GA production in hypocotyl tissues, driving cell elongation. (2) DELLA protein interaction with ARF transcription factors: ARF transcription factors repress cell elongation but are suppressed by their interaction with DELLA proteins. Gibberellins counteract this inhibition by promoting the degradation of DELLA proteins, thereby freeing ARF transcription factors to repress elongation-related processes.","The two primary mechanisms are: (1) Auxin-induced gibberellin biosynthesis: Auxin stimulates the ARF-dependent transcriptional upregulation of genes encoding GA 20-oxidases and GA 3-oxidases, which are key enzymes in gibberellin biosynthesis. This leads to increased local GA production in hypocotyl tissues, repressing cell elongation. (2) DELLA protein interaction with ARF transcription factors: ARF transcription factors facilitate cell elongation and are enhanced by their interaction with DELLA proteins. Gibberellins counteract this stimulation by promoting the degradation of DELLA proteins, thereby impairing the promotion by ARF transcription factors of elongation-related processes.","The two primary mechanisms are: (1) Auxin-induced gibberellin biosynthesis: Auxin stimulates the ARF-dependent transcriptional upregulation of genes encoding GA 20-oxidases and GA 3-oxidases, which are key enzymes in gibberellin biosynthesis. This leads to increased local GA production in hypocotyl tissues, driving cell elongation. (2) DELLA protein interaction with ARF transcription factors: ARF transcription factors facilitate cell elongation but are suppressed by their interaction with DELLA proteins. Gibberellins counteract this inhibition by promoting the degradation of DELLA proteins, thereby freeing ARF transcription factors to activate elongation-related processes.",2,True,2,True,0,False,0,False,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
target,14,Arabidopsis thaliana,HORMONES,What is the impact of gibberellins in the control of flowering time in Arabidopsis and what are the main flowering-time genes involved?,1,"Gibberellins are essential to repress flowering under non-inductive short-day conditions. They do it by decreasing the expression of key flowering-time genes, such as LEAFY and SUPPRESSOR OF CONSTANS OVEREXPRESSION (SOC1). ","Gibberellins are essential to promote flowering under non-inductive short-day conditions. They do it by enhancing the expression of key flowering-time genes, such as LEAFY and SUPPRESSOR OF CONSTANS OVEREXPRESSION (SOC1). ","Gibberellins are essential to promote flowering under long day conditions. They do it by enhancing the expression of key flowering-time genes, such as FLOWERING LOCUS C (FLC) and SUPPRESSOR OF CONSTANS OVEREXPRESSION (SOC1). ",1,True,1,True,1,True,0,False,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
target,15,Arabidopsis thaliana,HORMONES,"What molecular mechanisms regulate DELLA activity in Arabidopsis, beyond the control of cellular DELLA levels?",0,"DELLA activity, defined by the interaction with transcription factors and other transcriptional regulators, is regulated by postranslational modifications that alter DELLA’s capacity to establish these interactions. Among them, three are the best studied ones: In Arabidopsis, O-fucosylation catalyzed by SPINDLY (SPY) stimulates the interaction with PIF transcription factors, while O-GlcNAcylation catalyzed by SECRET AGENT (SEC) impairs this interaction. Finally, SUMOylation has been described in rice to differentially affect the interaction with distinct transcription factors, leading to salt stress tolerance.","DELLA activity, defined by the interaction with transcription factors and other transcriptional regulators, is regulated by postranslational modifications that alter DELLA’s capacity to establish these interactions. Among them, three are the best studied ones: In Arabidopsis, O-fucosylation catalyzed by SECRET AGENT (SEC) impairs the interaction with PIF transcription factors, while O-GlcNAcylation catalyzed by SPINDLY (SPY) promotes this interaction. Finally, SUMOylation has been described in rice to differentially affect the interaction with distinct transcription factors, leading to salt stress tolerance.","DELLA activity, defined by the interaction with transcription factors and other transcriptional regulators, is regulated by postranslational modifications that alter DELLA’s capacity to establish these interactions. Among them, three are the best studied ones: In Arabidopsis, O-fucosylation catalyzed by SPINDLY (SPY) represses the interaction with PIF transcription factors, while O-GlcNAcylation catalyzed by SECRET AGENT (SEC) stimulates this interaction. Finally, phosphorylation has been described in rice to differentially affect the interaction with distinct transcription factors, leading to salt stress sensitivity.",0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True
target,16,Arabidopsis thaliana,HORMONES,What is the experimental evidence for the involvement of NPF3 in gibberellin-dependent regulation of Arabidopsis root growth?,0,"NPF3 is a gibberellin influx carrier expressed in the root endodermis. Gibberellin accumulation in the endodermis drives cell expansion in this cell type, from which growth of the whole organ is coordinated. Overexpression of NPF3 causes a phenotype associated to gibberellin hypersensitivity in roots.","NPF3 is a gibberellin influx carrier expressed everywhere in the root except in the endodermis. Gibberellin deprivation in the root endodermis promotes cell expansion in this cell type, from which growth of the whole organ is coordinated. Overexpression of NPF3 causes a phenotype associated to gibberellin deficiency in roots.","NPF3 is a gibberellin efflux carrier expressed in the root endodermis. Gibberellin accumulation in the endodermis prevents cell expansion in this cell type, from which growth of the whole organ is coordinated. Overexpression of NPF3 causes a phenotype associated to gibberellin deficiency in roots.",0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True
target,17,Arabidopsis thaliana,GROWTH AND DEVELOPMENT,Which is the master regulator gene involved in branching regulation in Arabidopsis thaliana? And how is it expression regulated?,0,"In Arabidopsis thaliana, the master regulator of branching is BRANCHED1 (BRC1), a transcription factor from the TCP class II family. This gene is regulated by numerous environmental and endogenous conditions. Regarding environmental conditions, being shaded by neighbor plants or increasing far red light promote BRC1 expression. As to endogenous conditions, there is a regulation mediated by hormones. Cytokinins down regulate BRC1 while strigolactones increase its transcription levels. Also sucrose down regulates BRC1 expression.      ","The master regulator gene of branching in Arabidopsis thaliana is FLC, a MADS-domains transcription factor. This gene is repressed after a prolonged period of low temperatures. Also FRIGIDA (FRI) increases the FLC protein production, while VERNALIZATION INSENSITIVE3 (VIN3) reduces FLC transcriptional activity during vernalization. ",BRANCHED1 is the master regulator of branching in Arabidopsis. This gene promotes axillary bud outgrowth integrating different signals as cold or blue light. Also its transcription level increase with high levels of sucrose.,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True
target,18,Arabidopsis thaliana,GROWTH AND DEVELOPMENT,How is the long noncoding RNA APOLO involved in the regulation of branching in Arabidopsis thaliana?,0,"The long non coding RNA APOLO participates in branching regulation through the epigenetic modulation of BRC1expression. This regulation occurs in the context of shade or under high levels of far red light. Different levels of APOLO modulate a chromatin loop opening or formation. This chromatin loop encompasses BRC1 and its neighbor gene’s promoters so, when it is open it allows the transcription of both genes but, when it is formed, the transcription levels of both decrease.   ",The long non coding RNA APOLO participates in branching regulation by increasing strigolactones levels. ,The long non coding RNA APOLO participates in branching regulation by modulating FLC expression. This regulation occurs in the context of low temperatures. ,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True
target,19,Arabidopsis thaliana,GROWTH AND DEVELOPMENT,In which context does the long noncoding RNA APOLO participate in BRC1 expression modulation in Arabidopsis thaliana?,0,The long non coding RNA APOLO modulates BRC1 expression in the context of shade or under high far red light levels.,The long non coding RNA APOLO modulates BRC1 expression in the context of low far red levels.,The long non coding RNA APOLO modulates BRC1 expression in the context of high temperatures,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True
target,20,Arabidopsis thaliana,ENVIRONMENT - LIGHT AND TEMPERATURE,Which are the most important responses of Arabidopsis thaliana plants to the shade avoidance syndrome?,2,"In Arabidopsis thaliana, shade light signals delay flowering and promote branching. ","In Arabidopsis thaliana, the shade avoidance syndrome induces seeds germination and suppresses hypocotyl and petiole elongation.","In Arabidopsis thaliana, the shade avoidance syndrome presents different responses depending on the plant developmental stage. In seeds, shade light signals repress germination. At seedling stage, promote hypocotyl elongation. At the rosette stage, promote petiole elongation, reduce leaf lamina expansion and induce hyponasty. Also, accelerate flowering and reduce branching.     ",2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
target,21,Arabidopsis thaliana,ENVIRONMENT - LIGHT AND TEMPERATURE,How is hyponasty regulated in Arabidopsis thaliana?,0,"The hyponasty response is the leaf upward movement driven by a higher rate of cell expansion on de abaxial side compared with the adaxial. This difference in cell expansion depends on auxin biosynthesis, transport and distribution, which is regulated by R/FR light. Low R/FR inactivates phyB, allowing PIFs to accumulate and become active to control transcription of target genes including YUCs which are involved in auxin biosynthesis. Also there are some evidences that the long non coding RNA APOLO has a role in the hyponastic response to a low R/FR through the modulation of some genes. APOLO is induced by auxin, regulates genes involved in auxin biosynthesis like YUC2 and participates in auxin redistribution modulating PID and WAG2 expression. ","The hyponasty response is the leaf upward movement driven by a higher rate of cell expansion on de adaxial side compared with the abaxial. This difference in cell expansion depends on gibberellin biosynthesis and distribution, which is regulated by R/FR light. Low R/FR inactivates phyB, allowing PIFs to accumulate and become active to control transcription of target genes including YUCs which are involved in ethylene biosynthesis. ",The hyponasty response is regulated by cold temperatures through the long non coding RNA CIL1 action.,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True
target,22,Arabidopsis thaliana,PHYSIOLOGY AND METABOLISM,Which genes (AGI) encode structural proteins of cytochrome c oxidase in Arabidopsis thaliana? Mention whether there is homology with any yeast and/or mammalian genes?,2,"Cytochrome c Oxidase is composed of several subunits in Arabidopsis thaliana. The enzymatic core is highly conserved between plants, mammals and yeasts and the genes are normally encoded by the mitochondrial genome. The Arabidopsis genes are COX1 (ATMG01360), COX2 (ATMG00160) and COX3 (ATMG01520). The rest of the subunits are encoded in the nuclear genome and only some of them are conserved, including COX10 (AT2G44520), COX11 (AT1G02410), COX15, (AT5G56090), COX17 (AT3G15352 and AT1G53030) and COX19 (AT1G66590 and AT1G52710), and all of them have the same name in mammals and yeast. There are also other genes found in proteomic analysis, but without a clear function, such as COX6b-1 to 4, COX6a whose mammalian counterparts have the same name and are COX12 and Cox13 in yeast. Finally, there are other genes exclusive to plants such as COX5c-1 to 3 and COX-X1 to 6","The Arabidosis Cytochrome c Oxidase CcO catalytic core is encoded by 3 mitochondrial gene, COX1 (ATMG00460), COX2 (ATMG00760) and COX2 (ATMG00550), all of them present conserved homologous in mammals and yeast. The rest of the subunits are also encoded in the mitochondrial genome and only some of them are conserved, including COX5b-1 to 3 (ATMG00455, ATMG00410, ATMG01160), homologous to COX5b of mammals and Cox4 of yeast. Also, other proteins are part of the enzyme and act as regulatory modules, among them we can find COX10 (AT2G44520), COX11 (AT1G02410), COX15, (AT5G56090), COX17 (AT3G15352 and AT1G53030) and COX19 (AT1G66590 and AT1G52710), and all of the have the same name in mammals and yeast. ","ytochrome c Oxidase is composed of several subunits in Arabidopsis thaliana. The enzymatic core is highly conserved between plants, mammals and yeasts and the genes are normally encoded by the mitochondrial genome. The Arabidopsis genes are COX1 (ATMG01360), COX2 (ATMG00160) and COX3 (ATMG00730). The rest of the subunits are encoded in the nuclear genome and only some of them are conserved, including COX5b-1 to 3 (AT3G15640, AT1G80230, AT1G52710), homologous to COX5b of mammals and Cox4 of yeast. All of these subunits are necessary for the correct assembly and function of the enzyme. There are also other genes found in proteomic analysis, but without a clear function, such as COX6b-1 to 4, COX6a whose mammalian counterparts have the same name and are COX12 and Cox13 in yeast. Finally, there are other genes exclusive to plants such as COX5c-1 to 3 and COX-X1 to 6.
",0,False,0,False,0,False,0,False,0,False,0,False,2,True,0,False,,False,0,False,2,True,2,True
target,23,Arabidopsis thaliana,PHYSIOLOGY AND METABOLISM,Describe the main phenotypes of the Cytochrome c mutants in Arabidopsis thaliana and the associated molecular pathways that are affected,2," Arabidopsis thaliana has 2 genes that encode for the heme protein Cytochrome c, CYTC-1 and CYTC-2. This protein is involved in the electron transfer between complex III and complex IV of the mitochondrial electron transport chain. The mutation in the CYTC genes in Arabidopsis generates different phenotypes depending on the mutant analyzed. Double knock-out mutants are embryo lethal. The mutants knock-down in CYTC-1 and knock-out in CYTC-2 that have very low levels of CYTC protein present a reduced growth rate and early flowering. These phenotypes are mostly associated with the CYTC-2 gene. The reduced growth rate is associated with a lower level of ATP, which generates a lower activation of the SnRK2-pathway and reduces the autophagy to adjust growth and cellular energy production. On the other hand, the CYTC-1 gene presents redundancy with CYTC-2 in all  the phenotypes and this could be explained due to both genes have almost identical protein sequence and very similar expression pattern but the CYT-C2 expression is stronger, masking CYT-C1 mutations effects.
","Arabidopsis thaliana has 2 genes that encode for the heme protein Cytochrome c, CYTC-1 and CYTC-2. This protein is involved in the electron transfer between complex III and complex IV of the mitochondrial electron transport chain. The mutation in the CYTC genes in Arabidopsis generates different phenotypes depending on the mutant analyzed. Double knock-out mutants are embryo lethal. The mutants knock-down in CYTC-1 and knock-out in CYTC-2 that have very low levels of CYTC protein present a reduced growth rate and late flowering. These phenotypes are mostly associated with the CYTC-1 gene. The reduced growth rate is associated with a higher level of NADH, which generates a lower activation of the TOR-pathway and reduces the autophagy to adjust growth and cellular energy production. On the other hand, the CYTC-2 gene presents redundancy with CYTC-1 in most of the phenotypes with the only exception found during the germination process. During germination, CYTC-2 is repressed due to the decrease in ABI4, and it decreases the sensitivity to ABA stimulating the germination.","Arabidopsis thaliana has 2 genes that encode for the heme protein Cytochrome c, CYTC-1 and CYTC-2. This protein is involved in the electron transfer between complex III and complex IV of the mitochondrial electron transport chain. The mutation in the CYTC genes in Arabidopsis generates different phenotypes depending on the mutant analyzed. Double knock-out mutants are embryo lethal. The mutants knock-down in CYTC-1 and knock-out in CYTC-2 that have very low levels of CYTC protein present a reduced growth rate and late flowering. These phenotypes are mostly associated with the CYTC-1 gene. The reduced growth rate is associated with a lower synthesis of ATP, which generates a lower activation of the TOR-pathway and an increase in autophagy to adjust growth and cellular energy production. On the other hand, the CYTC-2 gene presents redundancy with CYTC-1 in most of the phenotypes with the only exception found during the germination process. During germination, CYTC-2 is de-repressed due to the decrease in ABI4, stimulating the synthesis of the ATP required for this process, in addition the increase in CYTC-2 decreases the sensitivity to ABA.",2,True,0,False,0,False,0,False,2,True,2,True,2,True,0,False,2,True,0,False,2,True,2,True
